date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:23	46020/46020	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2007:53:22%20GMT	https://premiumtheme.org/html/chakri/	D:/WebTemplates/writer/premiumtheme.org/html/chakri/index.html	(from )
10:53:26	31000/31000	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Nov%202018%2018:16:02%20GMT	https://premiumtheme.org/html/chakri/dist/css/vendor/font-awesome/css/font-awesome.min.css	D:/WebTemplates/writer/premiumtheme.org/html/chakri/dist/css/vendor/font-awesome/css/font-awesome.min.css	(from https://premiumtheme.org/html/chakri/)
10:53:26	144877/144877	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Nov%202018%2018:16:02%20GMT	https://premiumtheme.org/html/chakri/dist/css/vendor/bootstrap.min.css	D:/WebTemplates/writer/premiumtheme.org/html/chakri/dist/css/vendor/bootstrap.min.css	(from https://premiumtheme.org/html/chakri/)
10:53:27	3145/3145	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Nov%202018%2018:16:02%20GMT	https://premiumtheme.org/html/chakri/dist/css/vendor/slick-theme.css	D:/WebTemplates/writer/premiumtheme.org/html/chakri/dist/css/vendor/slick-theme.css	(from https://premiumtheme.org/html/chakri/)
10:53:28	1776/1776	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Nov%202018%2018:16:02%20GMT	https://premiumtheme.org/html/chakri/dist/css/vendor/slick.css	D:/WebTemplates/writer/premiumtheme.org/html/chakri/dist/css/vendor/slick.css	(from https://premiumtheme.org/html/chakri/)
10:53:31	46020/46020	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2007:53:30%20GMT	https://premiumtheme.org/html/chakri/index.html	D:/WebTemplates/writer/premiumtheme.org/html/chakri/index-2.html	(from https://premiumtheme.org/html/chakri/)
10:53:31	130020/130020	---M--	200	added ('OK')	text/css	date:Thu,%2016%20May%202019%2004:25:34%20GMT	https://premiumtheme.org/html/chakri/dist/css/main.css	D:/WebTemplates/writer/premiumtheme.org/html/chakri/dist/css/main.css	(from https://premiumtheme.org/html/chakri/)
10:53:32	1934/1934	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Apr%202019%2009:49:24%20GMT	https://premiumtheme.org/html/chakri/img/logo.png	D:/WebTemplates/writer/premiumtheme.org/html/chakri/img/logo.png	(from https://premiumtheme.org/html/chakri/)
10:53:33	1820/1820	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Apr%202019%2006:55:08%20GMT	https://premiumtheme.org/html/chakri/img/logo2.png	D:/WebTemplates/writer/premiumtheme.org/html/chakri/img/logo2.png	(from https://premiumtheme.org/html/chakri/)
10:53:35	45079/45079	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2007:53:33%20GMT	https://premiumtheme.org/html/chakri/index-guest.html	D:/WebTemplates/writer/premiumtheme.org/html/chakri/index-guest.html	(from https://premiumtheme.org/html/chakri/)
10:53:36	49148/49148	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2007:53:35%20GMT	https://premiumtheme.org/html/chakri/chatting.html	D:/WebTemplates/writer/premiumtheme.org/html/chakri/chatting.html	(from https://premiumtheme.org/html/chakri/)
10:53:39	31226/31226	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2007:53:38%20GMT	https://premiumtheme.org/html/chakri/project-award.html	D:/WebTemplates/writer/premiumtheme.org/html/chakri/project-award.html	(from https://premiumtheme.org/html/chakri/)
10:53:40	26251/26251	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2007:53:39%20GMT	https://premiumtheme.org/html/chakri/bid-project.html	D:/WebTemplates/writer/premiumtheme.org/html/chakri/bid-project.html	(from https://premiumtheme.org/html/chakri/)
10:53:43	28735/28735	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2007:53:42%20GMT	https://premiumtheme.org/html/chakri/feature-job-offline-grid.html	D:/WebTemplates/writer/premiumtheme.org/html/chakri/feature-job-offline-grid.html	(from https://premiumtheme.org/html/chakri/)
10:53:44	28147/28147	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2007:53:43%20GMT	https://premiumtheme.org/html/chakri/feature-job-offline-list.html	D:/WebTemplates/writer/premiumtheme.org/html/chakri/feature-job-offline-list.html	(from https://premiumtheme.org/html/chakri/)
10:59:41	27608/27608	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2007:59:38%20GMT	https://premiumtheme.org/html/chakri/feature-job-online-with-map.html	D:/WebTemplates/writer/premiumtheme.org/html/chakri/feature-job-online-with-map.html	(from https://premiumtheme.org/html/chakri/)
10:59:43	24317/24317	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2007:59:42%20GMT	https://premiumtheme.org/html/chakri/post-job-offline.html	D:/WebTemplates/writer/premiumtheme.org/html/chakri/post-job-offline.html	(from https://premiumtheme.org/html/chakri/)
10:59:45	24424/24424	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2007:59:44%20GMT	https://premiumtheme.org/html/chakri/post-job-online.html	D:/WebTemplates/writer/premiumtheme.org/html/chakri/post-job-online.html	(from https://premiumtheme.org/html/chakri/)
11:00:03	39971/39971	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202019%2008:00:00%20GMT	https://premiumtheme.org/html/chakri/browse-freelancer-grid.html	D:/WebTemplates/writer/premiumtheme.org/html/chakri/browse-freelancer-grid.html	(from https://premiumtheme.org/html/chakri/)
